"","Loan_Term","Income","Age","Status_marital","Type_residence","Red_flag","Type_employment","school","default","Time_to_default","delta"
"3544",48,2980,2,2,3,1,2,4,0,44,0
"3545",60,2980.52,5,3,3,2,2,4,0,56,0
"3546",37,2982.8,4,3,2,1,2,5,0,33,0
"3547",60,2983.75,6,6,3,1,2,6,0,56,0
"3548",60,2984,7,3,5,1,2,2,0,56,0
"3549",36,2985.19,4,2,3,1,2,6,0,32,0
"3550",12,2986,5,3,5,1,2,8,0,8,0
"3551",12,2987,5,3,5,1,2,6,0,8,0
"3552",60,2989,5,3,5,1,2,4,1,2,1
"3553",21,2989.2,5,3,5,1,2,5,0,17,0
"3554",24,2989.82,5,2,5,1,2,6,0,20,0
"3555",60,2990,4,3,5,1,2,4,1,29,1
"3556",24,2990.96,5,2,5,1,2,4,0,20,0
"3557",24,2992,5,3,5,1,2,6,0,20,0
"3558",37,2994.2,5,3,5,1,2,1,0,33,0
"3559",24,2998.07,5,3,5,1,2,5,0,20,0
"3560",25,2998.1,6,3,5,1,2,4,0,21,0
"3561",48,2999.08,5,4,5,1,2,2,0,44,0
"3562",60,3000,5,3,5,1,2,3,1,15,1
"3563",48,3000,5,4,2,1,1,5,1,12,1
"3564",48,3000,3,2,5,1,1,6,0,44,0
"3565",60,3000,5,3,2,1,1,4,1,3,1
"3566",48,3000,4,3,5,2,1,4,1,33,1
"3567",60,3000,4,2,6,1,2,5,1,35,1
"3568",48,3000,3,2,2,1,2,4,0,44,0
"3569",60,3000,4,2,5,2,1,5,1,36,1
"3570",60,3000,7,3,5,1,2,4,0,56,0
"3571",48,3000,4,2,3,1,2,5,1,21,1
"3572",60,3000,4,3,4,1,2,4,0,56,0
"3573",48,3000,4,2,3,1,1,4,1,14,1
"3574",48,3000,4,2,4,1,2,4,0,44,0
"3575",60,3000,3,2,5,1,2,6,0,56,0
"3576",60,3000,5,2,5,1,2,8,1,13,1
"3577",60,3000,4,3,7,2,2,5,0,56,0
"3578",48,3000,3,6,4,3,2,6,0,44,0
"3579",48,3000,5,3,4,1,2,4,0,44,0
"3580",60,3000,4,3,5,1,2,4,1,32,1
"3581",48,3000,2,2,3,1,2,4,1,8,1
"3582",60,3000,4,2,5,1,2,4,0,56,0
"3583",24,3000,5,2,3,2,2,4,0,20,0
"3584",48,3000,7,5,5,1,1,6,0,44,0
"3585",60,3000,4,3,4,1,2,6,0,56,0
"3586",48,3000,5,3,5,1,2,4,1,16,1
"3587",60,3000,4,2,5,1,2,6,0,56,0
"3588",60,3000,4,2,5,1,2,6,0,56,0
"3589",60,3000,4,6,5,1,1,1,1,10,1
"3590",48,3000,7,4,5,1,2,4,0,44,0
"3591",48,3000,4,3,5,1,1,4,1,5,1
"3592",37,3000,4,2,4,1,2,6,0,33,0
"3593",48,3000,4,2,4,2,2,3,0,44,0
"3594",30,3000,4,2,5,1,2,5,0,26,0
"3595",60,3000,4,2,7,1,2,4,1,8,1
"3596",60,3000,2,3,3,1,1,4,0,56,0
"3597",60,3000,7,3,5,1,1,4,0,56,0
"3598",49,3000,4,3,5,1,2,4,0,45,0
"3599",36,3000,4,2,3,1,2,5,0,32,0
"3600",30,3000,6,3,5,1,2,4,0,26,0
"3601",48,3000,5,4,7,1,2,4,0,44,0
"3602",24,3000,3,3,5,1,2,4,0,20,0
"3603",60,3000,5,4,5,2,2,6,1,34,1
"3604",36,3000,4,2,3,1,1,5,1,2,1
"3605",24,3000,4,3,5,2,2,6,0,20,0
"3606",60,3000,5,4,2,2,1,6,0,56,0
"3607",48,3000,5,3,5,1,1,6,1,16,1
"3608",48,3000,4,2,2,1,1,4,0,44,0
"3609",36,3000,6,2,3,1,1,4,0,32,0
"3610",60,3000,6,3,5,1,2,4,1,8,1
"3611",48,3000,4,2,5,1,2,4,0,44,0
"3612",60,3000,4,2,5,2,2,4,1,18,1
"3613",48,3000,5,3,2,1,2,6,0,44,0
"3614",48,3000,4,2,3,1,2,5,1,0,1
"3615",36,3000,4,2,3,1,1,5,1,0,1
"3616",48,3000,5,4,2,1,1,5,1,0,1
"3617",60,3000,4,6,5,1,1,1,1,0,1
"3618",48,3000,2,2,3,1,2,4,1,0,1
"3619",60,3000,5,3,5,1,2,3,1,0,1
"3620",60,3000,4,2,5,2,1,5,1,0,1
"3621",48,3000,5,3,5,1,2,4,1,0,1
"3622",60,3000,5,3,2,1,1,4,1,0,1
"3623",60,3000,4,2,6,1,2,5,1,0,1
"3624",49,3000.53,3,2,3,1,2,6,0,45,0
"3625",37,3000.68,5,3,5,1,2,2,0,33,0
"3626",48,3001.15,7,3,5,1,2,3,0,44,0
"3627",25,3002,4,3,4,1,2,6,0,21,0
"3628",60,3003.24,4,2,4,1,2,4,0,56,0
"3629",24,3004.95,6,3,5,1,2,8,0,20,0
"3630",48,3007.5,4,4,5,1,2,4,0,44,0
"3631",60,3008.48,7,4,5,1,2,1,1,10,1
"3632",60,3008.48,7,4,5,1,2,1,0,56,0
"3633",60,3008.48,7,4,5,1,2,1,1,0,1
"3634",36,3018.52,7,6,5,1,2,6,1,27,1
"3635",36,3023.68,5,4,5,1,2,6,0,32,0
"3636",36,3027.63,7,4,4,1,2,4,0,32,0
"3637",48,3028.19,6,3,5,2,2,4,0,44,0
"3638",60,3030,4,2,5,1,1,8,0,56,0
"3639",49,3030,5,3,4,2,2,4,0,45,0
"3640",60,3032.5,6,3,5,1,1,1,1,13,1
"3641",48,3036.19,5,4,5,2,2,1,1,2,1
"3642",60,3037.15,4,2,3,2,1,6,0,56,0
"3643",60,3037.6,3,2,3,1,2,5,0,56,0
"3644",60,3038,6,3,5,1,2,6,0,56,0
"3645",37,3038,6,3,5,1,1,4,0,33,0
"3646",60,3038.95,5,3,5,1,1,4,0,56,0
"3647",60,3038.95,5,3,5,1,1,4,0,56,0
"3648",36,3038.99,5,4,5,1,2,4,0,32,0
"3649",36,3040,5,4,2,2,1,5,0,32,0
"3650",36,3040,6,4,5,1,1,5,0,32,0
"3651",48,3041.37,7,5,4,2,2,3,1,20,1
"3652",48,3042.51,7,3,5,1,2,4,0,44,0
"3653",60,3045.96,7,3,5,1,2,8,0,56,0
"3654",48,3046,6,3,7,1,2,1,0,44,0
"3655",60,3047,5,2,4,2,2,5,0,56,0
"3656",60,3049.28,7,2,5,1,1,4,0,56,0
"3657",24,3050,4,2,5,1,2,3,1,8,1
"3658",48,3050,2,2,3,1,2,3,1,17,1
"3659",48,3050,5,4,5,1,1,4,1,5,1
"3660",49,3052.24,4,2,3,1,1,6,0,45,0
"3661",48,3055.12,6,5,5,1,2,6,0,44,0
"3662",36,3058,4,3,5,3,2,1,1,26,1
"3663",24,3060,4,3,7,1,2,6,0,20,0
"3664",48,3061,5,3,2,2,2,4,0,44,0
"3665",37,3062.58,6,2,7,1,2,8,0,33,0
"3666",37,3065.78,3,2,3,1,2,6,0,33,0
"3667",48,3070.84,6,3,2,2,2,6,0,44,0
"3668",60,3074.35,5,3,4,1,2,4,0,56,0
"3669",48,3076.67,5,3,5,2,1,4,0,44,0
"3670",48,3077.91,5,3,3,1,2,6,0,44,0
"3671",60,3079.16,6,2,5,1,1,4,1,2,1
"3672",24,3081.1,6,2,5,1,2,4,0,20,0
"3673",49,3082,6,3,5,1,2,6,0,45,0
"3674",24,3082.24,5,3,5,1,2,4,0,20,0
"3675",48,3083,4,2,5,1,2,4,0,44,0
"3676",18,3088.56,6,2,5,1,2,3,0,14,0
"3677",36,3088.8,7,3,5,1,2,1,0,32,0
"3678",36,3090.5,6,3,5,1,2,4,0,32,0
"3679",60,3091.28,7,3,5,1,2,4,1,13,1
"3680",15,3092,7,2,5,1,2,6,0,11,0
"3681",36,3092.5,4,3,4,1,2,6,0,32,0
"3682",60,3095.59,6,3,5,1,2,5,0,56,0
"3683",24,3100,5,2,4,1,2,4,0,20,0
"3684",30,3100,6,3,4,1,2,4,0,26,0
"3685",60,3100,6,3,5,1,1,1,0,56,0
